Aanuoluwapo; God’s mercy is great.
Mojirola; I awoke to see wealth
Mojisola; I awoke to wealth
Mojolaoluwa; I enjoy (eat) the wealth of God
Mojoyin; I enjoy (eat) honey
Mokolade; I have brought wealth
Molayo; I have joy
Monilola; I have a share in wealth
Mopelola; I am complete in wealth
Moradeke; I have found a crown to pamper
Moradeun; I have found a crown to pamper
Moradeyo; I have found a crown to rejoice over
Morakinyo; I have found a warrior to rejoice over
Morayo; I see joy
Morenike; I (have) found a person to pamper
Morenikeji; I have found my second (better) half
Moriojurereoluwagba; I have found God’s favor/ favor in God’s sight
Moriselade
Morohundiya; I find one to lessen my suffering
Morohunfola; I bestow something on wealth
Morohunfolu; I have found whom to give to God
Morohunkolafun; I have found whom to build wealth for
Morohunmubo; I have found someone to bring back
Morolake; I have found wealth to pamper
Morolayo; I have found wealth to rejoice over
Mosopefunolorun; I thank God
Mosunmola; I move close to wealth
Motilewa; I come from home
Motunrayo; I have once again seen joy
Moyoade; I rejoice over the crown
Moyosoreoluwa; I revel/rejoice in God’s favor
O
Oba; means king/ruler
Obafemi; the king loves me
Obasola; the king makes wealth

Obi; means family
Obileye; family has honor
Obisesan;

Odun; means year
Odunayo; year of joy
Oduntan; a famed year in stories

Ojuolape; the face of wealth is complete/complete wealth

Okanlanwon; only male child amongst several female children

Okelanfa;
Okiki; means fame
Okikiade; fame of crown
Okikiimole; fame of light
Okikiola; fame of wealth
Ola; means wealth.
Olabadero;
Olabamidele; wealth accompanies me home
Olabamiji/Olabanji; wealth wakes with me
Olabanwo; wealth looks after (this) for me
Olabimtan; wealth beget me complete
Olabisi; wealth has given birth to more
Olabode; wealth has arrived
Olabosipo; wealth returns to its position
Olabukunola; wealth adds fully to wealth
Oladahunsi; wealth responds to (me)
Oladapo; wealth associates/affiliates
Oladayo; wealth becomes joy
Oladega; wealth arrives the palace
Oladeinde/Olasehinde; wealth has returned
Oladeji/Oladimeji; wealth has becomes two/double
Oladejo; wealth becomes eight
Oladele; wealth has come home
Oladepo; wealth arrives its rightful position
Oladiji; wealth becomes a refuge
Oladipo/ Oladipupo; wealth has become plenty
Oladiran; wealth becomes a heritage
Oladitan; wealth becomes a story
Oladokun; wealth becomes (as wide as) the sea
Oladosu;
Oladotun; wealth has become renewed
Oladunjoye; wealth is sweeter than titles
Oladunni; wealth is sweet to have
Oladurotoye; wealth stays with titles
Olafimihan; wealth shows me off
Olagoke; wealth ascends a hill
Olagunjoye; wealth is superior to titles
Olagunte; wealth ascends the throne
Olaide; wealth turns to come
Olaitan; wealth is inexhaustible
Olaiya; wealth of a mother
Olajide; wealth awakes to come
Olajire; wealth awakes to goodness
Olajobi/Olajumobi; wealth unites to give birth to
Olajumoke; wealth unites to pamper
Olakanmi; wealth has touched me/I am entitled to wealth
Olakitan; wealth does not finish
Olalekan; wealth has increased by one
Olalere; wealth has benefits
Olamakinde; wealth has brought the warrior
Olamide; my wealth has come
Olamiji; my wealth has awoken
Olanifesi; wealth has love for me
Olanipekun; wealth is endless
Olaniyan; wealth has its pride
Olaniyi; wealth is honorable
Olanlesi; wealth is increasing
Olanrele; wealth is going home
Olanrewaju; wealth is moving forward
Olansile; wealth opens a house
Olaoluwa; wealth of /from God
Olaosebikan; wealth does dwell exclusively in one place
Olaoti; wealth does not fade
Olaoye; wealth of the titled one
Olapademi; wealth meets with me
Olapeju; wealth is full of value
Olapitan; wealth tells a story
Olasimbo; wealth escorts me
Olasubomi; wealth has overwhelmed me.
Olasunmbo; wealth moves closer to me
Olasunkanmi; wealth moves nearer to touch me
Olasupo; wealth clusters together
Olatelemi; wealth follows me
Olatemina; I also deserve wealth
Olateju; wealth is abundant
Olatidoye; wealth has become a title
Olatokunbo; wealth from across the sea
Olatoun; wealth is worth strife
Olatunbosun; wealth has once more shifted (forward)
Olatunji; wealth has been revived
Olawale; wealth come home
Olawepo;
Olawuwo; wealth is heavy
Olawuyi;
Olayemi; wealth befits me
Olayikanmi; wealth turned to touch me
Olayiwola; wealth twists into wealth
Olayinka; wealth surrounds me
Olayonu; wealth has burdens

Olikoye;

Ololade; wealthy person has arrived

Oloyede;

Olu/oluwa; means God. They are used interchangeably.
Oluade; God of the crown
Olubajo; God returns from a journey
Olubamise; God has done it for me
Olubanke; God helps me take care of (this child)
Oluwabukola; God adds to wealth
Olubukumi; God adds to me
Olubukunade; God adds to the crown
Oluwabunmi; God adds to me
Oluwabusayo; God adds to joy
Oluwabusola; God adds to wealth
Oludahunsi; God answers (me)
Oluwadairo; God establishes this one
Oluwadamilare; God exonerates/acquits me
Oluwadamilola ; God makes me wealthy
Oluwadamisi; God spares me/my life
Oluwadarasimi; God has been good to me
Oluwadayisi; God created this one
Oludemilade; God has crowned me
Oluwadetan; God has finally arrived

Oludolamu; God is the custodian of wealth
Oludotun; God becomes new
Olufadeke; God uses the crown to care for this one
Olufaju;
Olufela; God expands wealth
Oluwafemi; God loves me
Olufeyifunmi;
Olufeyikemi; God uses this (one) to care for me
Olufeyisayo; God uses this (one) to add to (my) joy
Oluwafikayo/ Olufikunayo; God adds completeness to (my) joy
Oluwafiresayo; God adds favor to (my) joy
Olufisayo; God adds to (my) joy
Olufolake; God takes care of this (one) with wealth
Olufolasade; God has uses wealth as a crown
Oluwafoyinsolami; God adds honey to my wealth

Olufumiso; God gave me (this child) to watch over
Olufunke; God gave me to pamper
Olufunmbi; God gave me to birth
Olufunmilade; God has given me a crown
Olufunmilola; God gives me wealth
Oluwafunmilorinotun; God has given me a new song

Olufunto; God gave me to raise/bring up
Olugbayilo; God takes this (one) to use
Olugbemileke; God makes me overcome
Oluwagbeminiyi; Gods honors me
Oluwagbotemi

Oluwajimi;
Oluwajimisayo;
Oluwajomiloju; God has surprised me
Olukayode; God has brought joy
Oluwakemi; God pampers me
Olukolade; God brings wealth
Olukorede; God has brought good (to me)
Olukunmi; God completes me
Olulaanu; God has mercy
Oluwaleti; God has ears (to hear my request)
Oluwalomose; God knows how best to do it
Oluwalonike; God owns (this one) to take care of
Oluwalonimi; God owns me
Olumayokun; God makes joy complete
Olumayowa; God brings joy
Olumide; my God has come
Olumoyebo; God has brought titles
Olumoroti;
Oluwanifemi; God has love for me
Oluwapamilerinayo; God has caused me to laugh in joyfulness
Oluranti; God remembers
Oluwaremilekun;God has dried my tears
Oluropo; God replaces
Oluwarotimi; God is with me
Olusaanu; God wrought mercy
Olusanmi; God benefits me
Olusanya; God compensates for my suffering
Olusayo; God makes joy
Olusegun; God is victorious
Oluwasemilore; God has done me a favor
Olusesan;
Oluwaseteminirere; God has done things for my good

Oluwaseun; thanks be to God
Oluwaseunbabaralaiyemi; God has done extremely great things for me

Oluwaseunayo; God has done something joyous
Oluseye; God makes dignity
Oluwaseyi; God has done this
Olusoga; God is the master
Olusogo;
Olusoji; God has arisen
Olusola; God makes wealth
Oluwatemilorun; God contents me
Oluwatimilehin; God backs me up
Oluwatisetan; God has done completed “it”

Oluwatobi; God is big/mighty
Oluwatofunmi; God is enough for me
Olutomilola; God is enough wealth for me
Olutomiwa; God has come for me
Oluwatosin; God is worthy of worship
Olutoyelo; God worth more than titles
Oluwatoyosi; God is worth celebrating
Olutumibi; God rebirths me
Olutunde; God has returned
Oluwawapelumi; God is with me
Oluwemimo; God washes me pure
Oluwole; God enters the home
Oluwayemisi; God holds me in high regards/God honors me
Oluyomi; God delivered me

Omo; means child
Omobayi
Omobolade; child comes (home) with wealth
Omobolaji; child awoke with wealth
Omobolanle; child met wealth at home
Omobonike; child has met with someone to pamper him/her
Omoborode; child has come with riches
Omodarani; child is good to have
Omodehinbo;
Omodele; child has come home
Omodunbi; child is sweet to birth
Omodunni; a child is a sweet thing to have
Omofolabo; child comes with wealth
Omojola; child is greater than wealth
Omojolade;
Omokeinde/ Omokeyinwa; child comes in last/brings up the rear
Omokeyede; child brings honor
Omokorede; child brings goodness
Omolabake; child whom we shall pamper
Omolabi; it’s a child we have given birth to
Omolara/ Omolebi; children are family
Omolayo; children are (a source) joy

Omolere; children are good
Omolewa; children are beauty
Omoleye; children are worthy
Omolola; children are wealth
Omololu; child is the master
Omoloro; children are riches
Omoloso; children are adornments/jewels
Omoluwabi; responsible child
Omoniyi; children are honorable
Omoniyun; children are (as precious as) coral beads
Omopariola; children are the completion are wealth
Omopekun
Omosalewa; child selected what home to be born into
Omosunsola; child moves nearer to wealth
Omotade; child is the worth of the crown
Omotara; child is the worth of family
Omotayo; child is the worth of (equivalent of) joy
Omotola/Omotolani; a child is as worthy as wealth
Omotoso; children are the worth of adornments
Omotunde; child has come again
Omowafola; child is deatined for wealth
Omowon; children are expensive/dear/precious
Omowunmi; child is appealing to me
Omoyeni; child befits a person

Oni; means person
Onifede; here comes the person of love
Onipede; here comes the consoler
Oniyide; here comes the dignified one

Ope; means thanks
Opemipo; I have many thanks to render
Opeoluwa; God’s gratitude
Opetunde; gratitude has come again
Opeyemi; thanks befits me/I should be grateful

Ore; means favor/goodness/kindness
Oreofe; free favor (undeserved favor). I.e. grace
Oreolu; favor of God

Òré; means friend
Òrédola; friendship becomes wealth
Òrélolu; God is a friend
Òréoluwa; friend of God
Òréotitololuwa; God is a true friend

Ori; means head
Oriade; head of crown
Oridola; head has become wealth
Orimolade; the head knows who should be crown
Oriola; head of wealth
Oriyomi; my head has saved me

Oromidayo; my case has become that of joy

Otito; means truth
Otitoju; the truth is greatest
Otitoluwa; the truth of God

Owo; this refers to money
Owodunni; money is sweet to own
Owolabi; money is what we have given birth to
Owoseni; money can be had

Oye; means titles
Oyebamiji/Oyebanji; the title awakes with me
Oyebode; title has come
Oyebola; title meets with wealth
Oyebolujo; the titles fit God
Oyedele; title comes home
Oyediran; title becomes hereditary
Oyegoke; title ascends a hill
Oyekanmi; it is my turn to receive the title
Oyekunbi;
Oyekunle; title fills the house
Oyelakin; title is valor
Oyeleke;title overcomes
Oyelowo; title has respect
Oyemade; title with crown
Oyenike; title has need of pampering
Oyeniran; title has pedigree
Oyeniyi; title has dignity
Oyenola; title has wealth
Oyenuga; the title owns the palace
Oyerinde; title has walked in
Oyesanya; the title compensates for my suffering
Oyesina; the title has opened the wat
Oyetunde the title has come again
Oyeyemi; titles befit me
Oyeyipo; titles roll together/surround each other

Oyin; means honey. It refers also to sweetness
Oyindamola; honey is mixed into wealth
Oyindasola; honey pours into wealth
Oyinkansola; honey drips into wealth
Oyinlade;

P
Popoola; highway of wealth

S
Segilade; ornaments are crowns
Segilola; ornaments are wealth

Similolaoluwa; restfulness of the wealth of God

Sijuade; look in/open (your) eyes wide in the direction of the crown
Sijuwola; look in the direction of wealth

Siyanbola;
Suulola;

T
Tanimola; who knows the future
Taraoluwa; from Gods own body
Taiwo/Taiye; taste life/the world. The name given to the younger of a set of twins
Tejumade; fix your gaze on the crown
Temidayo; my life has taken a turn for good
Temilade; mine is the crown
Temilayo; mine is joy. Joy is mine
Temilolu; God is mine
Temitayo; my case is worth joyfulness
Temitope; mine (my circumstances) are worth thankfulness
Tewogbola; stretch out your hands to receive wealth
Tirenioluwa; it is yours, Lord!
Tinuade; from within the crown
Titilola; endless wealth
Titilayo; endless joy
Tiwalade; ours is the crown
Tiwalolu; ours is God
Tiwatope; our situation is worthy of thanks
Tolulope; Gods’ is thanks
Tolulore; gift which belongs to God
Toluwalase; God’s word is law
Toluwani; Gods belonging
Towobola; dip your hand into wealth
W
Wura; means gold
Wurade; gold of the crown
Wuraola; gold of wealth
Y
Ye; is the abbreviated form of Iya; mother/grandmother?
Yejide; mother has awoken
Yetunde; mother has returned again
Yewande; mother looked for me
